method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.38309531,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.70744811,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.39710166,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.13520299,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.07653338,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.04328859,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03928061,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04200732,6556,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.32397083,2619,,
