target,class,articleType,rows,families
gender,Women,Highlighter and Blush,4,1
gender,Women,Innerwear Vests,1,1
gender,Women,Ipad,1,1
gender,Women,Jackets,44,40
gender,Women,Jeans,168,93
gender,Women,Jeggings,22,14
gender,Women,Jewellery Set,38,16
gender,Women,Jumpsuit,10,10
gender,Women,Kajal and Eyeliner,11,9
gender,Women,Kurta Sets,62,57
gender,Women,Kurtas,1266,655
gender,Women,Kurtis,170,132
gender,Women,Laptop Bag,8,8
gender,Women,Leggings,116,103
gender,Women,Lip Gloss,5,5
gender,Women,Lip Liner,11,7
gender,Women,Lip Plumper,3,3
gender,Women,Lipstick,10,2
gender,Women,Lounge Pants,16,15
gender,Women,Lounge Shorts,7,6
gender,Women,Lounge Tshirts,1,1
gender,Women,Mobile Pouch,34,34
gender,Women,Mufflers,7,4
gender,Women,Nail Polish,16,15
gender,Women,Necklace and Chains,53,37
gender,Women,Night suits,44,25
gender,Women,Nightdress,34,26
gender,Women,Patiala,23,19
gender,Women,Pendant,105,10
gender,Women,Perfume and Body Mist,201,169
gender,Women,Ring,54,3
gender,Women,Robe,2,2
gender,Women,Salwar,24,20
gender,Women,Salwar and Dupatta,6,6
gender,Women,Sandals,3,3
gender,Women,Sarees,129,106
gender,Women,Scarves,51,41
gender,Women,Shapewear,2,2
gender,Women,Shirts,233,200
gender,Women,Shorts,53,50
gender,Women,Shrug,2,2
gender,Women,Skirts,79,70
gender,Women,Socks,67,56
gender,Women,Sports Sandals,27,27
gender,Women,Sports Shoes,334,316
gender,Women,Stockings,22,10
gender,Women,Stoles,76,51
gender,Women,Sunglasses,264,146
gender,Women,Sweaters,72,64
gender,Women,Sweatshirts,52,49
gender,Women,Swimwear,11,10
gender,Women,Tablet Sleeve,1,1
gender,Women,Ties and Cufflinks,1,1
gender,Women,Tights,7,6
gender,Women,Tops,1176,867
gender,Women,Track Pants,70,64
gender,Women,Travel Accessory,3,3
gender,Women,Trousers,77,60
gender,Women,Tshirts,851,755
gender,Women,Tunics,147,131
gender,Women,Umbrellas,5,4
gender,Women,Waistcoat,4,3
gender,Women,Wallets,342,252
gender,Women,Watches,683,501
usage,Casual,Accessory Gift Set,15,3
usage,Casual,Backpacks,523,353
usage,Casual,Bangle,42,14
usage,Casual,Basketballs,2,2
usage,Casual,Belts,564,375
usage,Casual,Blazers,1,1
usage,Casual,Body Wash and Scrub,1,1
usage,Casual,Booties,9,5
usage,Casual,Boxers,34,27
usage,Casual,Bra,235,180
usage,Casual,Bracelet,43,15
usage,Casual,Briefs,566,402
usage,Casual,Camisoles,13,13
usage,Casual,Capris,92,63
usage,Casual,Caps,166,144
usage,Casual,Casual Shoes,2258,1743
usage,Casual,Clothing Set,7,7
usage,Casual,Clutches,185,150
usage,Casual,Compact,4,1
usage,Casual,Concealer,2,1
usage,Casual,Cufflinks,1,1
usage,Casual,Deodorant,248,223
usage,Casual,Dresses,281,225
usage,Casual,Duffel Bag,67,52
usage,Casual,Earrings,111,11
usage,Casual,Eyeshadow,1,1
usage,Casual,Flats,345,231
usage,Casual,Flip Flops,729,605
usage,Casual,Footballs,1,1
usage,Casual,Formal Shoes,12,10
usage,Casual,Foundation and Primer,11,5
usage,Casual,Fragrance Gift Set,47,46
usage,Casual,Free Gifts,42,28
usage,Casual,Gloves,18,12
usage,Casual,Handbags,1211,782
usage,Casual,Hat,2,2
usage,Casual,Headband,2,2
usage,Casual,Heels,862,449
usage,Casual,Innerwear Vests,205,161
usage,Casual,Ipad,1,1
usage,Casual,Jackets,126,113
usage,Casual,Jeans,472,226
usage,Casual,Jeggings,22,14
usage,Casual,Jewellery Set,35,13
usage,Casual,Jumpsuit,10,10
usage,Casual,Kajal and Eyeliner,9,8
usage,Casual,Key chain,1,1
usage,Casual,Kurtas,4,4
usage,Casual,Kurtis,2,2
usage,Casual,Laptop Bag,66,48
usage,Casual,Leggings,108,87
usage,Casual,Lip Gloss,5,5
usage,Casual,Lip Liner,9,5
usage,Casual,Lip Plumper,3,3
usage,Casual,Lipstick,10,2
usage,Casual,Lounge Pants,31,28
usage,Casual,Lounge Shorts,25,22
usage,Casual,Lounge Tshirts,1,1
usage,Casual,Messenger Bag,37,36
usage,Casual,Mobile Pouch,39,38
usage,Casual,Mufflers,33,27
usage,Casual,Nail Polish,8,8
usage,Casual,Necklace and Chains,48,35
usage,Casual,Night suits,59,35
usage,Casual,Nightdress,33,25
usage,Casual,Pendant,101,8
usage,Casual,Perfume and Body Mist,463,395
usage,Casual,Rain Jacket,1,1
usage,Casual,Ring,79,4
usage,Casual,Robe,2,2
usage,Casual,Rompers,11,7
usage,Casual,Rucksacks,6,6
usage,Casual,Sandals,714,477
usage,Casual,Scarves,93,74
usage,Casual,Shapewear,2,2
usage,Casual,Shirts,1872,1187
usage,Casual,Shoe Accessories,3,3
usage,Casual,Shoe Laces,1,1
usage,Casual,Shorts,284,219
usage,Casual,Shrug,2,2
usage,Casual,Skirts,72,57
usage,Casual,Socks,397,238
usage,Casual,Sports Sandals,51,50
usage,Casual,Sports Shoes,28,25
usage,Casual,Stockings,22,10
usage,Casual,Stoles,29,17
usage,Casual,Sunglasses,881,422
usage,Casual,Sweaters,227,192
usage,Casual,Sweatshirts,209,181
usage,Casual,Swimwear,6,6
usage,Casual,Tablet Sleeve,2,2
usage,Casual,Ties,39,7
usage,Casual,Ties and Cufflinks,1,1
usage,Casual,Tights,7,6
usage,Casual,Tops,1320,923
usage,Casual,Track Pants,91,78
usage,Casual,Tracksuits,7,7
usage,Casual,Travel Accessory,12,11
usage,Casual,Trolley Bag,3,2
usage,Casual,Trousers,229,148
usage,Casual,Trunk,119,86
usage,Casual,Tshirts,4938,3893
usage,Casual,Tunics,124,110
usage,Casual,Umbrellas,5,4
usage,Casual,Waist Pouch,15,14
usage,Casual,Waistcoat,11,9
usage,Casual,Wallets,673,411
usage,Casual,Watches,1837,1246
usage,Casual,Water Bottle,5,5
usage,Casual,Wristbands,2,2
usage,Ethnic,Bangle,8,5
usage,Ethnic,Bracelet,1,1
usage,Ethnic,Capris,2,2
usage,Ethnic,Churidar,26,24
usage,Ethnic,Clutches,3,3
usage,Ethnic,Dupatta,99,73
usage,Ethnic,Earrings,95,25
usage,Ethnic,Flats,9,3
usage,Ethnic,Free Gifts,13,10
usage,Ethnic,Handbags,1,1
usage,Ethnic,Heels,5,5
usage,Ethnic,Jewellery Set,3,3
usage,Ethnic,Kurta Sets,64,59
usage,Ethnic,Kurtas,1318,695
usage,Ethnic,Kurtis,170,132
usage,Ethnic,Leggings,26,26
usage,Ethnic,Lehenga Choli,2,2
usage,Ethnic,Lounge Pants,2,2
usage,Ethnic,Necklace and Chains,5,4
usage,Ethnic,Nehru Jackets,4,3
usage,Ethnic,Patiala,23,19
usage,Ethnic,Pendant,4,2
usage,Ethnic,Perfume and Body Mist,1,1
usage,Ethnic,Salwar,28,24
usage,Ethnic,Salwar and Dupatta,6,6
usage,Ethnic,Sarees,129,106
usage,Ethnic,Shirts,12,11
usage,Ethnic,Skirts,10,10
usage,Ethnic,Stoles,48,35
usage,Ethnic,Ties,1,1
usage,Ethnic,Tops,37,33
usage,Ethnic,Trousers,3,3
usage,Ethnic,Tunics,24,23
usage,Ethnic,Waistcoat,1,1
usage,Formal,Accessory Gift Set,76,30
usage,Formal,Belts,112,47
usage,Formal,Blazers,6,6
usage,Formal,Casual Shoes,3,3
usage,Formal,Cufflinks,37,16
usage,Formal,Dresses,1,1
usage,Formal,Flats,1,1
usage,Formal,Formal Shoes,498,217
usage,Formal,Free Gifts,1,1
usage,Formal,Heels,21,20
usage,Formal,Laptop Bag,1,1
usage,Formal,Sandals,8,6
usage,Formal,Shirts,723,364
usage,Formal,Skirts,12,9
usage,Formal,Socks,37,21
usage,Formal,Suspenders,34,19
usage,Formal,Ties,138,84
usage,Formal,Tops,1,1
usage,Formal,Trousers,201,143
usage,Formal,Tshirts,1,1
usage,Formal,Wallets,21,12
usage,Formal,Watches,16,15
usage,Home,Cushion Covers,1,1
usage,NA,Baby Dolls,2,2
usage,NA,Briefs,2,2
usage,NA,Eyeshadow,3,3
usage,NA,Highlighter and Blush,4,1
usage,NA,Kajal and Eyeliner,2,2
usage,NA,Lip Liner,2,2
usage,NA,Nail Polish,8,7
usage,NA,Nightdress,1,1
usage,NA,Perfume and Body Mist,9,8
usage,NA,Rain Trousers,1,1
usage,NA,Sandals,1,1
usage,NA,Shirts,2,2
usage,NA,Shoe Accessories,17,15
usage,NA,Wallets,7,2
usage,Party,Clutches,1,1
usage,Party,Dresses,7,5
usage,Party,Heels,1,1
usage,Party,Perfume and Body Mist,1,1
usage,Party,Tops,1,1
usage,Party,Watches,1,1
usage,Smart Casual,Casual Shoes,4,4
usage,Smart Casual,Formal Shoes,7,6
usage,Smart Casual,Heels,1,1
usage,Smart Casual,Sandals,1,1
usage,Smart Casual,Shirts,10,9
usage,Smart Casual,Ties,1,1
usage,Smart Casual,Trousers,2,2
usage,Smart Casual,Wallets,3,1
usage,Smart Casual,Watches,18,12
usage,Sports,Backpacks,71,68
usage,Sports,Basketballs,10,10
usage,Sports,Bra,16,16
usage,Sports,Capris,42,36
usage,Sports,Caps,64,61
usage,Sports,Casual Shoes,11,11
usage,Sports,Duffel Bag,3,3
usage,Sports,Flats,1,1
usage,Sports,Flip Flops,5,5
usage,Sports,Footballs,6,6
usage,Sports,Free Gifts,1,1
usage,Sports,Handbags,6,6
usage,Sports,Headband,4,4
usage,Sports,Jackets,67,59
usage,Sports,Leggings,1,1
usage,Sports,Lounge Pants,12,12
usage,Sports,Lounge Shorts,4,3
usage,Sports,Sandals,10,10
usage,Sports,Shorts,163,136
usage,Sports,Skirts,5,5
usage,Sports,Socks,87,53
usage,Sports,Sports Sandals,3,3
usage,Sports,Sports Shoes,1663,1520
usage,Sports,Sunglasses,5,3
usage,Sports,Sweaters,7,7
usage,Sports,Sweatshirts,28,27
usage,Sports,Swimwear,9,8
usage,Sports,Tights,1,1
usage,Sports,Tops,10,10
usage,Sports,Track Pants,158,133
usage,Sports,Tracksuits,17,14
usage,Sports,Tshirts,809,741
usage,Sports,Watches,39,38
usage,Sports,Water Bottle,5,5
usage,Sports,Wristbands,3,3
usage,Travel,Backpacks,10,10
usage,Travel,Duffel Bag,3,3
usage,Travel,Handbags,4,4
usage,Travel,Mobile Pouch,1,1
usage,Travel,Rucksacks,4,4
