target,class,fold,feature,train_n,val_n,train_mean,val_mean,standardized_mean_difference,wasserstein_distance
gender,Women,2,foreground_center_y,9621,2406,0.5134932699303607,0.5148288999722914,0.02780692829877226,0.0017547189349150782
usage,Casual,2,brightness,20120,5031,0.8384113767704598,0.8385675815127522,0.001789895856392635,0.002355911644497179
usage,Casual,2,foreground_fraction,20120,5031,0.3494548223629918,0.3509167329225469,0.008647373474847748,0.0029038845603129395
usage,Casual,2,near_white_fraction,20120,5031,0.6599384346437102,0.6581051259965989,-0.010997422872820208,0.003037438416135037
usage,Casual,2,foreground_center_x,20120,5031,0.4979422130737587,0.49814649175114284,0.010431691628596583,0.00028450873828422254
usage,Casual,2,foreground_center_y,20120,5031,0.5125717569582504,0.5135342542900683,0.022765156185312486,0.0010579997743282595
usage,Ethnic,2,brightness,1747,436,0.8405697381216659,0.833560816191752,-0.10834723518373388,0.0076728881331627925
usage,Ethnic,2,foreground_fraction,1747,436,0.37731038923869487,0.3780267205441116,0.008225756319430262,0.0028072254603100266
usage,Ethnic,2,near_white_fraction,1747,436,0.6274218899065065,0.6267604833823784,-0.007603874931812777,0.0026673077068209987
usage,Ethnic,2,foreground_center_x,1747,436,0.49367010112573934,0.4961964831804281,0.07359173502702797,0.002811295991905738
usage,Ethnic,2,foreground_center_y,1747,436,0.5023504579278764,0.5021788990825687,-0.010673413533099562,0.0005656814040320757
usage,Formal,2,brightness,1559,390,0.829095200000473,0.8241299270819396,-0.0702862901344494,0.005844248281237161
usage,Formal,2,foreground_fraction,1559,390,0.36045005227293553,0.36687767094017093,0.03945067179149286,0.012986382777474829
usage,Formal,2,near_white_fraction,1559,390,0.6481839545690573,0.641656517094017,-0.04107144893620581,0.013192565652756475
usage,Formal,2,foreground_center_x,1559,390,0.49882403249946544,0.49707264957264946,-0.061867685373900326,0.0024511247073787192
usage,Formal,2,foreground_center_y,1559,390,0.5079337716484926,0.5108173076923077,0.12026988446335071,0.004269903044357822
usage,NA,2,brightness,48,13,0.8598069661917785,0.8695741525063148,0.07254348261075999,0.03516484943863293
usage,NA,2,foreground_fraction,48,13,0.2707769097222222,0.2274358974358974,-0.2755557813362877,0.05932792467948721
usage,NA,2,near_white_fraction,48,13,0.7319618055555556,0.776073717948718,0.28068041170271335,0.05916666666666667
usage,NA,2,foreground_center_x,48,13,0.49826388888888884,0.4955128205128205,-0.2531703716213283,0.00371260683760684
usage,NA,2,foreground_center_y,48,13,0.5037760416666667,0.5115384615384616,0.1848615781076241,0.0145332532051282
usage,Party,2,brightness,10,2,0.8030008971691132,0.8797916769981384,0.8760270734427,0.0767907798290252
usage,Party,2,foreground_fraction,10,2,0.34752083333333333,0.2704166666666666,-1.0131963718156465,0.0884791666666667
usage,Party,2,near_white_fraction,10,2,0.6564583333333334,0.745,1.17702693846232,0.09691666666666669
usage,Party,2,foreground_center_x,10,2,0.4875,0.48333333333333334,-0.17378533390904694,0.010833333333333327
usage,Party,2,foreground_center_y,10,2,0.5325,0.465625,-0.9102583588370626,0.06687499999999998
usage,Smart Casual,2,brightness,38,9,0.8184315123056111,0.8370484842194451,0.22379285449536557,0.030776796633737127
usage,Smart Casual,2,foreground_fraction,38,9,0.3754824561403508,0.3268055555555555,-0.35769300763692813,0.05487816764132555
usage,Smart Casual,2,near_white_fraction,38,9,0.6268859649122805,0.6749768518518519,0.35561431872015636,0.054289717348927874
usage,Smart Casual,2,foreground_center_x,38,9,0.5028508771929825,0.4898148148148148,-0.6035584786610914,0.01654483430799221
usage,Smart Casual,2,foreground_center_y,38,9,0.5203947368421052,0.5048611111111111,-0.36022062781827907,0.01699561403508772
usage,Sports,2,brightness,2678,668,0.8364632167951486,0.8362349734424117,-0.002509829582426982,0.0025860608220932076
usage,Sports,2,foreground_fraction,2678,668,0.36416218052443783,0.3646851089487691,0.002906162246054871,0.005431912267697606
usage,Sports,2,near_white_fraction,2678,668,0.6423178315077587,0.642465381736527,0.0008224816920210499,0.0048714381201500415
usage,Sports,2,foreground_center_x,2678,668,0.49769728653223794,0.49648203592814366,-0.08729046829436342,0.0012716538543525368
usage,Sports,2,foreground_center_y,2678,668,0.49773384988797614,0.4972617265469062,-0.016773357275684162,0.002732152386787293
usage,Travel,2,brightness,18,4,0.7554601596461402,0.7172546982765198,-0.33207204592822487,0.06233820319175721
usage,Travel,2,foreground_fraction,18,4,0.5140046296296296,0.6721874999999999,0.5259705004708658,0.16827546296296297
usage,Travel,2,near_white_fraction,18,4,0.48798611111111106,0.33088541666666665,-0.5192954140284607,0.1666724537037037
usage,Travel,2,foreground_center_x,18,4,0.5060185185185185,0.5,-0.5472275528333218,0.008796296296296309
usage,Travel,2,foreground_center_y,18,4,0.5135416666666667,0.5234375,0.13291168216597365,0.01788194444444444
gender,Boys,3,brightness,548,136,0.9011336939178244,0.9060685073628145,0.08867468760480779,0.006524936567564907
gender,Boys,3,foreground_fraction,548,136,0.23089834245742089,0.21373314950980388,-0.18111569238788464,0.01743388390940317
gender,Boys,3,near_white_fraction,548,136,0.7705748175182481,0.78796875,0.18349761411188595,0.01759580291970803
gender,Boys,3,foreground_center_x,548,136,0.4951186131386861,0.4971813725490197,0.1304680133562213,0.0025896307428080758
