method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44493,Casual Shoes,0.55384666,0.80000000,0.60000000,0.00000000,0.57573043,0.80000000,0.50000000,0.00000000,0.62461466,0.80000000,0.55000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44494,Casual Shoes,0.31997269,0.60000000,0.00000000,0.00000000,0.38569177,0.70000000,0.10000000,0.00000000,0.38966179,0.75000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44550,Sandals,0.50000000,1.00000000,0.00000000,0.00000000,0.60645330,1.00000000,0.00000000,0.00000000,0.65764911,0.90000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44585,Jeans,0.68002731,1.00000000,0.40000000,0.00000000,0.54291066,0.80000000,0.20000000,0.00000000,0.42076306,0.60000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44586,Jeans,0.83041990,1.00000000,0.80000000,0.00000000,0.88995412,1.00000000,0.90000000,0.00000000,0.84030188,0.90000000,0.80000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44589,Belts,1.00000000,1.00000000,1.00000000,0.00000000,0.93150764,1.00000000,0.80000000,0.00000000,0.93907852,1.00000000,0.85000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44590,Belts,0.77657324,1.00000000,0.40000000,0.00000000,0.78109657,1.00000000,0.50000000,0.00000000,0.80687804,1.00000000,0.60000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44591,Belts,0.93439746,1.00000000,0.80000000,0.00000000,0.88154735,1.00000000,0.70000000,0.00000000,0.81324640,1.00000000,0.55000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44592,Belts,0.77657324,1.00000000,0.40000000,0.00000000,0.81832936,1.00000000,0.60000000,0.00000000,0.86572421,1.00000000,0.75000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44593,Belts,0.72342676,1.00000000,0.60000000,0.00000000,0.82052289,1.00000000,0.80000000,0.00000000,0.79391348,1.00000000,0.65000000,0.00000000,,,
