candidate,variant,experiment_id,run_id,fold,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,10,0.6613076468262514,0.6865113457832628,0.7233587786259542,0.6985250965641729
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,11,0.648709815697138,0.7207101003177293,0.7085496183206107,0.6876175653125534
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,12,0.6337297158933153,0.6800371255037438,0.7245801526717557,0.7073796315283364
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,13,0.6169518929549093,0.7182826673074533,0.7154198473282443,0.6983939715479902
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,14,0.6093962199860018,0.6498305062574284,0.7447328244274809,0.72969255491362
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,15,0.5917728043569752,0.6698050613530719,0.7366412213740458,0.7192186174271169
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,16,0.5846305314317958,0.6826366797203326,0.7363358778625955,0.72016293698468
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,17,0.569718613908413,0.6543480216273825,0.7433587786259542,0.7282900852745235
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,18,0.5530379792663362,0.7056921997325111,0.7181679389312977,0.6945647235077909
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,19,0.5369211800161292,0.6909807230680044,0.7329770992366412,0.7164906045628934
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,1,1.0539647092829405,0.9414813815728399,0.5754198473282442,0.49736291698094487
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,2,0.8543184069951508,1.0106744082101429,0.5995419847328244,0.5004844001034292
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,3,0.7898018217853829,0.8152712791202632,0.6506870229007634,0.6472762158457983
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,4,0.7590069668518561,0.8159234368892117,0.6416793893129771,0.5844101546575542
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,5,0.7371146479567576,0.7192587087718585,0.7007633587786259,0.6853859508950478
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,6,0.7148014366233212,0.7386499546684382,0.6833587786259542,0.6560237573366141
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,7,0.7020493716346131,0.706911687532454,0.7029007633587786,0.6755361535574343
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,8,0.6845902886499144,0.6902564257519845,0.7251908396946565,0.7054004076229985
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,9,0.6711544890064904,0.7141393198493783,0.696030534351145,0.6697311202596263
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,10,0.6578631128527093,0.6648761970123261,0.7270229007633587,0.7111446387008351
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,11,0.648766325355436,0.6765888470729798,0.7131297709923664,0.6953528320626883
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,12,0.6334208502801953,0.6964993516179442,0.7050381679389313,0.6870338459868871
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,13,0.6224551050643796,0.6655613160679359,0.7259541984732825,0.7193907526925606
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,14,0.6039835433943946,0.654636435517828,0.7326717557251908,0.715054428728266
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,15,0.5948727739617937,0.6467705454080159,0.7396946564885496,0.7223927825106012
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,16,0.5798206731221541,0.6351250480604536,0.7477862595419847,0.7315123250953245
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,17,0.5654291646246628,0.6425069777474148,0.7451908396946565,0.7334596242195305
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,18,0.5568025513425136,0.6269111953345874,0.7500763358778626,0.734707139631947
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,19,0.5382866817001022,0.6383764200174171,0.7517557251908397,0.736999702386715
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,20,0.5205574393072224,0.6427537000634288,0.7538931297709923,0.7381677382869486
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,21,0.5078827537209807,0.6699856549455919,0.7395419847328244,0.7228780856440078
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,22,0.49055188554768997,0.6373747288088762,0.7558778625954199,0.7454441632445239
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,23,0.47722718315361445,0.6502766945980888,0.7514503816793893,0.7375545445615447
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,24,0.4638952861640925,0.6431769189033799,0.7541984732824427,0.7384698809058393
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,25,0.4503446826496975,0.6408102801737895,0.7577099236641222,0.7447567028467145
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,3,2753,26,0.4439133160759992,0.6428765292295063,0.7587786259541984,0.7440919864505284
