nohup: ignoring input
=== 2026-09-01T03:46:46+00:00 starting task9-stability-r5-f02-retry1
task4-progress stage=candidate-data run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=81/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=81/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=82/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=82/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=83/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=83/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=84/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=84/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=85/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=85/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=86/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=86/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=87/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=87/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=88/100 event=start
