family,tuning_id,experiment_id,epoch,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
C2,T1,g2-t1-c2-resnet18,3,0.0008125999706052517,0.0,0.8065660692084983,0.0058977115496088505,0.800466484890505,0.050237535341092626,0.6604592007672349,0.026699600267423063,0.6437139152396766,0.043343576126329636
C2,T1,g2-t1-c2-resnet18,4,0.0006123273863844729,0.0,0.7693569657210567,0.005434586776438552,0.7709516720449531,0.023135136608861687,0.6707487688170225,0.021130560870844868,0.6417387565642259,0.02937158197772621
C2,T1,g2-t1-c2-resnet18,5,0.0003898069856852607,0.0,0.7355398016202997,0.003587029627767018,0.7420806860376233,0.033981663514703046,0.6938611661964591,0.015991959897099128,0.6705867460073311,0.02391255305634941
C2,T1,g2-t1-c2-resnet18,6,0.00018911166289971543,0.0,0.7038946812330984,0.004587310770647779,0.711076395325358,0.015567451503721666,0.7026231221641515,0.007804667875724298,0.684818449396241,0.010018954387066435
C2,T1,g2-t1-c2-resnet18,7,4.999158807212123e-05,0.0,0.6733925055640197,0.004180178837829301,0.690634131152255,0.011012664896412575,0.7126984466643967,0.006399883248170844,0.6966172848383245,0.004406914880376114
C2,T1,g2-t1-c2-resnet18,8,1.1982178318437065e-09,0.0,0.6536352417274506,0.004743223632443008,0.6860054796019972,0.013263249908027892,0.7153543713143704,0.006750595520236221,0.6988073527884108,0.006387352063679606
C2,T2,g2-t2-c2-resnet18,1,0.0003,0.0,1.0473759408901253,0.007135055908049878,0.9912012666993426,0.05946457698958339,0.5686804910114003,0.019548383274160575,0.4599481654436638,0.08344846373119887
C2,T2,g2-t2-c2-resnet18,2,0.00028528748905818404,0.0,0.8465795654604212,0.004970902873938231,0.8783612146091805,0.12404546492783657,0.6394226685238419,0.031217417632201785,0.5972255786574122,0.07703194534063708
C2,T2,g2-t2-c2-resnet18,3,0.00024377999118157552,0.0,0.7802520442862162,0.005412880858016753,0.992350661231338,0.3163617448591839,0.5726746702422335,0.141727733767452,0.5410436810748606,0.1836829971339825
C2,T2,g2-t2-c2-resnet18,4,0.00018369821591534186,0.0,0.7433751257231693,0.0046498204738536966,0.7574213447220215,0.03501479356593056,0.6829001030545285,0.02196610660289536,0.6497942586091787,0.03498349318097671
C2,T2,g2-t2-c2-resnet18,5,0.00011694209570557818,0.0,0.7100591988199824,0.004059704784741893,0.7189734925393293,0.02199958101601086,0.6998745039496245,0.014131270585552837,0.6819731284481841,0.01665982061935992
C2,T2,g2-t2-c2-resnet18,6,5.673349886991463e-05,0.0,0.6785862960399702,0.0031428497110273837,0.6977826274964131,0.013303192082579072,0.7117522686280255,0.01145115405642676,0.6960349339884739,0.010693819882559026
C2,T2,g2-t2-c2-resnet18,7,1.4997476421636368e-05,0.0,0.6511635710533976,0.0030987808618445157,0.6806106453776145,0.015839053529701424,0.7194465428843654,0.012421181394214857,0.7030785435094715,0.012933140610619311
C2,T2,g2-t2-c2-resnet18,8,3.594653495531119e-10,0.0,0.63355495799585,0.004077105273402343,0.676988930203042,0.010396095417551064,0.7231710440052934,0.009088094027917645,0.7072473880357846,0.010663729801845448
