scope,fold,size,width,height,query_source,gallery_source,protocol,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count
development,1,96x128,96,128,teacher,teacher,family,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,coverage,10,query_mean,0.39948139,6556,
development,1,96x128,96,128,teacher,teacher,family,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,10,query_mean,0.03947529,6556,
development,1,96x128,96,128,teacher,teacher,family,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,recall,10,query_mean,0.36686955,2619,
development,1,96x128,96,128,teacher,teacher,family,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,hit_rate,10,query_mean,0.64528446,2619,
development,1,96x128,96,128,teacher,teacher,family,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision,10,query_mean,0.15563192,2619,
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,5,query_mean,0.50966749,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,5,article_type_macro,0.38335975,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,5,query_mean,0.70482295,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,5,article_type_macro,0.46285298,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,5,query_mean,0.27664835,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,5,article_type_macro,0.13116652,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,5,query_mean,0.02873703,6556,108
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,5,article_type_macro,0.02310662,6556,108
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,10,query_mean,0.49086064,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,10,article_type_macro,0.35719670,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,10,query_mean,0.67254274,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,10,article_type_macro,0.39279559,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,10,query_mean,0.25445665,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,10,article_type_macro,0.11024945,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,10,query_mean,0.03401464,6556,108
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,10,article_type_macro,0.02406228,6556,108
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,20,query_mean,0.47274308,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,ndcg,20,article_type_macro,0.34344042,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,20,query_mean,0.64053724,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_any,20,article_type_macro,0.33678711,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,20,query_mean,0.23064713,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision_strict,20,article_type_macro,0.09325895,6552,104
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,20,query_mean,0.03663057,6556,108
development,1,96x128,96,128,v1,v1,primary,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,20,article_type_macro,0.03073070,6556,108
development,1,96x128,96,128,v1,v1,family,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,coverage,10,query_mean,0.39948139,6556,
development,1,96x128,96,128,v1,v1,family,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,tie_rate,10,query_mean,0.03981086,6556,
development,1,96x128,96,128,v1,v1,family,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,recall,10,query_mean,0.37941549,2619,
development,1,96x128,96,128,v1,v1,family,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,hit_rate,10,query_mean,0.65559374,2619,
development,1,96x128,96,128,v1,v1,family,677.19803706,677.19803706,11525856401,11525856401,1600,36864,147456,precision,10,query_mean,0.15742650,2619,
development,1,96x128,96,128,teacher,v1,primary,656.55549118,677.19803706,409687427,11525856401,1600,36864,147456,ndcg,5,query_mean,0.50292167,6552,104
development,1,96x128,96,128,teacher,v1,primary,656.55549118,677.19803706,409687427,11525856401,1600,36864,147456,ndcg,5,article_type_macro,0.37060586,6552,104
development,1,96x128,96,128,teacher,v1,primary,656.55549118,677.19803706,409687427,11525856401,1600,36864,147456,precision_any,5,query_mean,0.69581807,6552,104
development,1,96x128,96,128,teacher,v1,primary,656.55549118,677.19803706,409687427,11525856401,1600,36864,147456,precision_any,5,article_type_macro,0.44869949,6552,104
