query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
3192,teacher,teacher,0.01769702,0.06703166,0.08472868
3198,teacher,teacher,0.01780662,0.06721585,0.08502247
3202,teacher,teacher,0.01776873,0.06685762,0.08462635
3203,teacher,teacher,0.01768870,0.06671796,0.08440666
3205,teacher,teacher,0.01756394,0.06674051,0.08430445
3219,teacher,teacher,0.01693286,0.09539819,0.11233105
3225,teacher,teacher,0.01679085,0.06651683,0.08330769
3237,teacher,teacher,0.01656521,0.06637699,0.08294220
3242,teacher,teacher,0.01674291,0.06667992,0.08342283
3243,teacher,teacher,0.01692089,0.06669404,0.08361492
3246,teacher,teacher,0.01667008,0.06637832,0.08304840
3249,teacher,teacher,0.01659673,0.06675593,0.08335266
3250,teacher,teacher,0.01672302,0.06649600,0.08321902
3261,teacher,teacher,0.01751228,0.06659743,0.08410971
3262,teacher,teacher,0.01745499,0.06663548,0.08409047
3264,teacher,teacher,0.01759157,0.06690246,0.08449403
3269,teacher,teacher,0.01752641,0.06701696,0.08454337
3288,teacher,teacher,0.01757974,0.06726388,0.08484362
3302,teacher,teacher,0.01678807,0.06716437,0.08395244
3322,teacher,teacher,0.01671291,0.06702748,0.08374039
3323,teacher,teacher,0.01702104,0.06710911,0.08413015
3329,teacher,teacher,0.01680693,0.06705166,0.08385860
3336,teacher,teacher,0.01682028,0.06710659,0.08392687
3339,teacher,teacher,0.01760571,0.06724320,0.08484891
3349,teacher,teacher,0.01768006,0.06678330,0.08446337
3356,teacher,teacher,0.01778524,0.06701036,0.08479559
3365,teacher,teacher,0.01738598,0.06685534,0.08424132
3366,teacher,teacher,0.01689006,0.06700150,0.08389156
3381,teacher,teacher,0.01709221,0.06700920,0.08410141
3384,teacher,teacher,0.01698828,0.06708804,0.08407632
3385,teacher,teacher,0.01705012,0.06693098,0.08398110
3389,teacher,teacher,0.01738150,0.06709954,0.08448105
3417,teacher,teacher,0.01783792,0.06707808,0.08491601
3442,teacher,teacher,0.01672771,0.06705224,0.08377995
3459,teacher,teacher,0.01683472,0.06712788,0.08396260
3468,teacher,teacher,0.01751978,0.06773905,0.08525882
3473,teacher,teacher,0.01706907,0.06768046,0.08474953
3474,teacher,teacher,0.01694739,0.06754209,0.08448949
3476,teacher,teacher,0.01771924,0.06726519,0.08498443
3493,teacher,teacher,0.01714958,0.06679567,0.08394525
3500,teacher,teacher,0.01694955,0.06690714,0.08385670
3501,teacher,teacher,0.01682776,0.06700988,0.08383764
3504,teacher,teacher,0.01707559,0.06722925,0.08430485
3515,teacher,teacher,0.01779538,0.06715468,0.08495005
3520,teacher,teacher,0.01765441,0.06694215,0.08459656
3528,teacher,teacher,0.01778316,0.06709407,0.08487723
3530,teacher,teacher,0.01751350,0.06683422,0.08434772
3536,teacher,teacher,0.01756714,0.06714834,0.08471548
3537,teacher,teacher,0.01766053,0.06718638,0.08484690
3538,teacher,teacher,0.01770326,0.06656696,0.08427022
3545,teacher,teacher,0.01671720,0.06652823,0.08324543
3550,teacher,teacher,0.01680708,0.06653637,0.08334345
3553,teacher,teacher,0.01657339,0.06675644,0.08332982
3561,teacher,teacher,0.01673396,0.06663569,0.08336965
3570,teacher,teacher,0.01724008,0.06677186,0.08401195
3574,teacher,teacher,0.01651708,0.06661185,0.08312893
3587,teacher,teacher,0.01757607,0.06676981,0.08434588
3588,teacher,teacher,0.01666942,0.06664514,0.08331456
3595,teacher,teacher,0.01669267,0.06669943,0.08339210
3597,teacher,teacher,0.01694789,0.06666155,0.08360944
3605,teacher,teacher,0.01696380,0.06679330,0.08375710
3609,teacher,teacher,0.01680063,0.06683535,0.08363598
3614,teacher,teacher,0.01707166,0.06648010,0.08355177
3616,teacher,teacher,0.01710124,0.06670561,0.08380685
3627,teacher,teacher,0.01683902,0.06669521,0.08353423
3630,teacher,teacher,0.01648791,0.06686156,0.08334947
3631,teacher,teacher,0.01649553,0.06677191,0.08326744
3645,teacher,teacher,0.01685491,0.06661994,0.08347485
3647,teacher,teacher,0.01668722,0.06670963,0.08339685
3654,teacher,teacher,0.01690736,0.06679548,0.08370284
3665,teacher,teacher,0.01663138,0.06657190,0.08320327
3666,teacher,teacher,0.01721937,0.06673007,0.08394943
3670,teacher,teacher,0.01677883,0.06749394,0.08427278
3674,teacher,teacher,0.01701954,0.06743878,0.08445832
3677,teacher,teacher,0.01729224,0.06715015,0.08444239
3690,teacher,teacher,0.01730743,0.06671615,0.08402358
3691,teacher,teacher,0.01719449,0.06727004,0.08446453
3692,teacher,teacher,0.01723963,0.06669332,0.08393295
3698,teacher,teacher,0.01786486,0.06685023,0.08471509
3704,teacher,teacher,0.01753446,0.06650170,0.08403616
3711,teacher,teacher,0.01730736,0.06652125,0.08382861
3722,teacher,teacher,0.01731705,0.06668842,0.08400547
3730,teacher,teacher,0.01701999,0.06677690,0.08379689
3734,teacher,teacher,0.01717919,0.06684275,0.08402194
3757,teacher,teacher,0.01770409,0.06663440,0.08433849
3758,teacher,teacher,0.01753482,0.06664272,0.08417755
3759,teacher,teacher,0.01756600,0.06660130,0.08416730
3767,teacher,teacher,0.01743892,0.06652319,0.08396211
3769,teacher,teacher,0.01742858,0.06724023,0.08466881
3774,teacher,teacher,0.01741322,0.06733098,0.08474420
3777,teacher,teacher,0.01761957,0.06712684,0.08474641
3786,teacher,teacher,0.01772718,0.06758300,0.08531018
3788,teacher,teacher,0.01786804,0.06753311,0.08540115
3790,teacher,teacher,0.01702978,0.06776225,0.08479202
3810,teacher,teacher,0.01730674,0.06740492,0.08471166
