method,fold,size,query_source,gallery_source,protocol,scope,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.65824176,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.35689265,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.63137973,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.30431429,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.60224359,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.11649876,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.25375458,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.10257735,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.23394383,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.08507272,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.21315629,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.01991069,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.02800488,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02509641,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03219951,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03026160,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.03433496,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,family,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,family,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.64795724,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,family,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.15578465,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,family,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.37006587,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,family,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03984137,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.36592435,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.50241280,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.34708354,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.48454193,6552,104,
