candidate,experiment_id,condition,fold,support,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,spring_precision,spring_recall,spring_f1
C2,g3-c2-t0-resnet18,jpeg_quality_85,3,6550,0.7273282442748091,0.7071558859343815,0.7261047453018186,0.6945821706473077,0.3801330484565036,0.06315260506957934,0.8918918918918919,0.6179775280898876,0.7300884955752213
C2,g3-c2-t0-resnet18,jpeg_quality_85,4,6552,0.7309218559218559,0.7099644161545831,0.7271167397991132,0.7036085266726821,0.3780838946743856,0.06799670155960091,0.8557213930348259,0.6466165413533834,0.7366167023554604
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,0,6550,0.5587786259541985,0.36612540576969466,0.3711492173753801,1.220740426389288,0.6270077382126684,0.169546230581189,0.0,0.0,0.0
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,1,6551,0.5414440543428484,0.3481624907383064,0.3459755127214164,1.4432385626090058,0.6851364022439866,0.2502536875564063,0.0,0.0,0.0
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,2,6550,0.5749618320610687,0.39205215294049445,0.3925977183082626,1.0129218368497193,0.571709896326033,0.0831430526062828,0.3333333333333333,0.007547169811320755,0.014760147601476014
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,3,6550,0.5503816793893129,0.35985965811353604,0.361696308436684,1.2285405976606925,0.6344327085842655,0.19068261958407332,1.0,0.00749063670411985,0.01486988847583643
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,4,6552,0.5027472527472527,0.3387855337183997,0.34057691990568584,1.4062585122840419,0.7076254869651688,0.2607945471178716,0.0,0.0,0.0
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,0,6550,0.6891603053435115,0.618749645349353,0.651524138026963,0.8005101551301069,0.43696352959109497,0.09005183316826865,0.7810650887573964,0.49624060150375937,0.6068965517241379
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,1,6551,0.7018775759426041,0.612588361896421,0.6562762753051371,0.8213217605097358,0.42803730930771744,0.100605203345354,0.8538461538461538,0.4188679245283019,0.5620253164556962
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,2,6550,0.7010687022900763,0.5966365620055336,0.6430038065388957,0.7634343074393792,0.41749257525229383,0.051049282128829664,0.8952380952380953,0.35471698113207545,0.5081081081081081
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,3,6550,0.6931297709923664,0.618841848180574,0.665231870950861,0.7942916051475107,0.43047461427969635,0.09952823362022453,0.896551724137931,0.4868913857677903,0.6310679611650486
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,4,6552,0.6982600732600732,0.6179149710457543,0.6595394212170288,0.7969675395634822,0.4243847806960511,0.09580029500808177,0.831081081081081,0.462406015037594,0.5942028985507246
I2,g4-i2-article-type-lambda-0-3-c1,clean,0,6550,0.7584732824427481,0.7163304499332525,0.7489367875819454,0.6285376735962376,0.3400920407539427,0.048952774748101356,0.93048128342246,0.6541353383458647,0.7682119205298014
I2,g4-i2-article-type-lambda-0-3-c1,clean,1,6551,0.7664478705541139,0.7224724771971481,0.7575743989618585,0.6529101624197772,0.339983756735896,0.06809333157254925,0.9361702127659575,0.6641509433962264,0.7770419426048565
I2,g4-i2-article-type-lambda-0-3-c1,clean,2,6550,0.7615267175572519,0.7012115130962379,0.743012242110391,0.6292430043067576,0.3383502910294532,0.02172391933636552,0.9512195121951219,0.5886792452830188,0.7272727272727273
I2,g4-i2-article-type-lambda-0-3-c1,clean,3,6550,0.7680916030534352,0.7226202331571916,0.7597741630370382,0.6146577033933389,0.330337191023681,0.05089498514844726,0.9453551912568307,0.6479400749063671,0.7688888888888888
I2,g4-i2-article-type-lambda-0-3-c1,clean,4,6552,0.7579365079365079,0.7232160575552449,0.7534862811083198,0.6369813576043064,0.3403155194462068,0.06035968533992614,0.9141414141414141,0.6804511278195489,0.7801724137931034
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,0,6550,0.6912977099236641,0.6818267771366608,0.6847334971121466,0.7519308817314119,0.4176469532877836,0.05428874082314205,0.7963800904977375,0.6616541353383458,0.7227926078028748
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,1,6551,0.6982140131277668,0.6832916666829256,0.6892716491245019,0.7536650067341552,0.4133742125820423,0.056320709399606234,0.7889908256880734,0.6490566037735849,0.7122153209109731
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,2,6550,0.7184732824427481,0.6833772496197594,0.7076442215296446,0.6873027914252906,0.38263547600619957,0.021402239864108972,0.9090909090909091,0.6037735849056604,0.7256235827664399
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,3,6550,0.6981679389312977,0.6869464027145147,0.6957635953758776,0.7342904190581279,0.40556224335585567,0.04904082885891239,0.8736842105263158,0.6217228464419475,0.7264770240700219
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,4,6552,0.7156593406593407,0.7001269879409449,0.7077466510106849,0.7097523743487484,0.3927846269193186,0.04319313030427593,0.7619047619047619,0.6616541353383458,0.7082494969818913
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,0,6550,0.7309923664122138,0.7134729115724696,0.732375956252084,0.669992895343677,0.36937350203253916,0.06726499187447435,0.9234972677595629,0.6353383458646616,0.7527839643652561
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,1,6551,0.7426347122576706,0.719200585789499,0.741527563430319,0.6848244779848474,0.3643539971840782,0.06830736404567478,0.9090909090909091,0.6415094339622641,0.7522123893805309
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,2,6550,0.7155725190839695,0.6888923711776047,0.7179951160026893,0.6962446943086159,0.3841822748450507,0.0395294910542428,0.9512195121951219,0.5886792452830188,0.7272727272727273
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,3,6550,0.7247328244274809,0.71101246097044,0.7313840350791667,0.6892743394638597,0.37837887424038574,0.07675529801058766,0.9193548387096774,0.6404494382022472,0.7549668874172185
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,4,6552,0.7182539682539683,0.7111235153882702,0.7275243054181586,0.6987384066051074,0.3834181179832829,0.07549322054249376,0.8855721393034826,0.6691729323308271,0.7623126338329764
