model,fold,scope,label,precision,recall,f1,support,predicted_count
G2,pooled,clean,Men,0.923055897225639,0.9509997183891862,0.9368194743047368,7102,7317
G2,pooled,clean,Unisex,0.6839285714285714,0.5409604519774012,0.6041009463722398,708,560
G2,pooled,clean,Women,0.9216425728053635,0.9145530145530145,0.9180841072732965,4810,4773
G2,0,clean,Boys,0.7586206896551724,0.6470588235294118,0.6984126984126984,136,116
G2,0,clean,Girls,0.6363636363636364,0.6542056074766355,0.6451612903225806,107,110
G2,0,clean,Men,0.9177301113222917,0.952112676056338,0.9346052813493709,3550,3683
G2,0,clean,Unisex,0.7294117647058823,0.523943661971831,0.6098360655737705,355,255
G2,0,clean,Women,0.9175387191293428,0.9114345114345115,0.9144764288694202,2405,2389
G2,4,clean,Boys,0.618421052631579,0.6811594202898551,0.6482758620689655,138,152
G2,4,clean,Girls,0.6341463414634146,0.47706422018348627,0.5445026178010471,109,82
G2,4,clean,Men,0.9284534947716016,0.9498873873873874,0.9390481491789591,3552,3634
G2,4,clean,Unisex,0.6459016393442623,0.5580736543909348,0.5987841945288754,353,305
G2,4,clean,Women,0.925755033557047,0.9176715176715177,0.9216955523073711,2405,2384
G2,pooled,gray,Boys,0.6504065040650406,0.583941605839416,0.6153846153846154,274,246
G2,pooled,gray,Girls,0.5873015873015873,0.3425925925925926,0.4327485380116959,216,126
G2,pooled,gray,Men,0.8921401390893583,0.9573359617009293,0.9235889424709638,7102,7621
G2,pooled,gray,Unisex,0.7051282051282052,0.5437853107344632,0.6140350877192983,708,546
G2,pooled,gray,Women,0.9216801575147671,0.8758835758835759,0.8981984863021,4810,4571
G2,0,gray,Boys,0.7372881355932204,0.6397058823529411,0.6850393700787402,136,118
G2,0,gray,Girls,0.55,0.308411214953271,0.39520958083832336,107,60
G2,0,gray,Men,0.8868660598179454,0.9605633802816902,0.9222447599729547,3550,3845
G2,0,gray,Unisex,0.7520325203252033,0.5211267605633803,0.6156405990016639,355,246
G2,0,gray,Women,0.9185639229422067,0.8723492723492724,0.8948603113670293,2405,2284
G2,4,gray,Boys,0.5703125,0.5289855072463768,0.5488721804511278,138,128
G2,4,gray,Girls,0.6212121212121212,0.3761467889908257,0.4685714285714286,109,66
G2,4,gray,Men,0.897510593220339,0.9541103603603603,0.9249454148471615,3552,3776
G2,4,gray,Unisex,0.6666666666666666,0.56657223796034,0.6125574272588055,353,300
G2,4,gray,Women,0.9247923043288151,0.8794178794178794,0.90153452685422,2405,2287
