outer_fold,inner_calibration_fold,class_name,calibration_positive_rows,calibration_positive_families,slope_a,intercept_b,reversed_slope,outer_margin_ap,outer_calibrated_ap,outer_true_margin_median,outer_true_probability_median,fit_class_weight
4,0,Travel,4,4,-3.88590865457457,2.7662410631370835,False,0.2661137106776412,0.2639243307632129,-0.8408849634066073,0.00298025415468502,1.885429594725108
4,1,Casual,5031,3536,-1.7367943297478792,-0.5846649326806409,False,0.939484378941521,0.9489536572946432,1.0339815613282424,0.9276955187522937,0.027575419233904778
4,1,Ethnic,436,280,-1.8355712272891012,0.8840542815981797,False,0.8311113613601048,0.8266092609484138,1.2587821715992287,0.6483779221631691,0.037728241681002396
4,1,Formal,387,209,-1.5600697570592126,0.9849917852206397,False,0.681288767002285,0.7263784217609518,0.7387895582549586,0.4964334742045378,0.04004731236568088
4,1,NA,14,8,-3.2575706248715117,1.920014012254509,False,0.2800722848503299,0.2862944585747846,-0.3879419143417957,0.041929682422008854,0.7794710714384006
4,1,Party,2,2,2.523084807252813,11.168114007005947,True,0.002014097278261246,0.00037775562142438354,-1.0656876661489372,0.00022457547452674258,3.9511783127658697
4,1,Smart Casual,10,9,-1.7762605116873624,3.7660494405453737,False,0.003987680358259211,0.003972568343197484,-1.211782269637553,0.0027967051162729496,0.9981957080955438
4,1,Sports,671,596,-1.7400658761375891,0.7237303246313291,False,0.6166930291898827,0.627874430313268,0.19338596636108485,0.41073789594493965,0.0318616024783616
4,1,Travel,5,5,-4.41637292282088,1.8818880094840533,False,0.2689411497273299,0.26335977657778026,-0.8301030346777107,0.003877512176372544,2.133942331941236
4,2,Casual,5031,3530,-1.629613897633075,-0.590957044987871,False,0.937775914967547,0.9493830612602697,1.0211187175564282,0.9240500539750204,0.028304347064501457
4,2,Ethnic,436,264,-1.74004030505805,0.7548072805912514,False,0.8075421756158897,0.8201256612820468,1.16261240029265,0.6202023707644388,0.038725548925091245
4,2,Formal,390,204,-1.6221511288947228,0.9294169595663987,False,0.6750016468036424,0.7230317796097273,0.6348875272658874,0.4929476999345437,0.041161884254546484
4,2,NA,13,11,-3.1416475534949386,2.0832519583082063,False,0.5530778962895729,0.5633366865227781,-0.2637280396022643,0.07079466985583506,0.7788390694043129
4,2,Party,2,2,-7.191311187391577,-0.30734745482204573,False,0.005642351207830232,0.0029583874610751926,-1.0777124889147696,0.0005029818358375898,4.055623645451288
4,2,Smart Casual,9,7,-1.9184449450293466,3.734006950983212,False,0.003966005082283994,0.003591623397384941,-1.336388954162994,0.0019954229342326476,0.9897442152743228
4,2,Sports,668,603,-1.7414219569476665,0.6968162686063566,False,0.6250251735833182,0.625673845380888,0.13293578707189435,0.39851233682933684,0.03268860350670849
4,2,Travel,4,4,-3.989405504702625,2.6598050720096307,False,0.08785324747533234,0.06088146131213779,-0.7470968282057935,0.00548280755568838,2.034912686119228
4,3,Casual,5024,3543,-1.6650505082946927,-0.5766246849055912,False,0.9420025298551702,0.9479085982068948,1.0418072401988547,0.9270351843741462,0.02771455618711545
4,3,Ethnic,438,279,-1.8444464717852846,0.8478252612723005,False,0.8276250905619319,0.8315709439698159,1.320297078484388,0.6542016687037101,0.03794659131723159
4,3,Formal,393,209,-1.6912501726655238,0.7716851157821806,False,0.6761403527654679,0.722618221608428,0.5499850517783877,0.5025449774300981,0.040359286038686354
4,3,NA,12,9,-2.3270223054353103,2.943776179482551,False,0.5075550676791334,0.505584885361379,-0.3262306471891876,0.04144124844609934,0.7429105783177582
4,3,Party,2,2,-2.8132286257799546,4.457874680093455,False,0.0019957046237004056,0.0014155270844108335,-1.0946988076219746,0.0005836602440010278,3.9711147321906344
4,3,Smart Casual,10,8,-1.188738277788863,4.611161298339862,False,0.0015197440809681822,0.0015207654199984205,-1.60909250306343,0.001536957451664921,1.003232293824995
4,3,Sports,669,596,-1.7466461058017777,0.7306767278318153,False,0.6226909759348388,0.6407171501851204,0.14358829918805371,0.41200938547241184,0.032012419494737855
4,3,Travel,5,5,-3.2414321251524667,3.1221867246266637,False,0.28093738358205683,0.28972193256864787,-0.742349819191526,0.005545192243496373,2.1447095426288403
