model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
E8,folds_0_4,1.0,Ethnic,0.8547815820543094,0.881851400730816,821,0.8293241695303551,873
E8,folds_0_4,2.0,Formal,0.7696440564137005,0.8070422535211268,710,0.7355584082156611,779
E8,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E8,folds_0_4,4.0,NA,0.17857142857142858,0.14705882352941177,34,0.22727272727272727,22
E8,folds_0_4,5.0,Party,0.2222222222222222,0.3333333333333333,3,0.16666666666666666,6
E8,folds_0_4,6.0,Smart Casual,0.08888888888888888,0.07407407407407407,27,0.1111111111111111,18
E8,folds_0_4,7.0,Sports,0.6736665266694666,0.7689357622243528,1043,0.5994020926756353,1338
E8,folds_0_4,8.0,Travel,0.1,0.08333333333333333,12,0.125,8
E9,all_available_folds,0.0,Casual,0.893745659544916,0.9189734111815853,23807,0.869866009303805,25151
E9,all_available_folds,1.0,Ethnic,0.822550831792976,0.8298368298368298,2145,0.81539166284929,2183
E9,all_available_folds,2.0,Formal,0.6896230805025593,0.6309067688378033,2349,0.7603899435608004,1949
E9,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E9,all_available_folds,4.0,NA,0.1927710843373494,0.1523809523809524,105,0.26229508196721313,61
E9,all_available_folds,5.0,Party,0.1111111111111111,0.16666666666666666,6,0.08333333333333333,12
E9,all_available_folds,6.0,Smart Casual,0.0909090909090909,0.07058823529411765,85,0.1276595744680851,47
E9,all_available_folds,7.0,Sports,0.5957334737951013,0.5324858757062146,4248,0.6760310818888224,3346
E9,all_available_folds,8.0,Travel,0.16326530612244897,0.14814814814814814,27,0.18181818181818182,22
E9,folds_0_4,0.0,Casual,0.8900266229776777,0.9181366853279814,9467,0.8635866865375063,10065
E9,folds_0_4,1.0,Ethnic,0.8305378831694621,0.8387850467289719,856,0.8224513172966781,873
E9,folds_0_4,2.0,Formal,0.6863555818074425,0.6356673960612691,914,0.7458279845956355,779
E9,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E9,folds_0_4,4.0,NA,0.2,0.14583333333333334,48,0.3181818181818182,22
E9,folds_0_4,5.0,Party,0.2222222222222222,0.3333333333333333,3,0.16666666666666666,6
E9,folds_0_4,6.0,Smart Casual,0.09302325581395349,0.08,25,0.1111111111111111,18
E9,folds_0_4,7.0,Sports,0.58368,0.51035254616676,1787,0.6816143497757847,1338
E9,folds_0_4,8.0,Travel,0.11111111111111112,0.1,10,0.125,8
U1,all_available_folds,0.0,Casual,0.9306522805296713,0.9189346246973366,10325,0.9426726279185296,10065
U1,all_available_folds,1.0,Ethnic,0.8410017472335468,0.8554502369668247,844,0.827033218785796,873
U1,all_available_folds,2.0,Formal,0.7812293456708527,0.8051771117166212,734,0.7586649550706034,779
U1,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
U1,all_available_folds,4.0,NA,0.19999999999999998,0.375,8,0.13636363636363635,22
U1,all_available_folds,5.0,Party,0.0,0.0,0,0.0,6
U1,all_available_folds,6.0,Smart Casual,0.0909090909090909,0.25,4,0.05555555555555555,18
U1,all_available_folds,7.0,Sports,0.680363492690636,0.721709974853311,1193,0.6434977578475336,1338
U1,all_available_folds,8.0,Travel,0.2,0.5,2,0.125,8
U1,folds_0_4,0.0,Casual,0.9306522805296713,0.9189346246973366,10325,0.9426726279185296,10065
U1,folds_0_4,1.0,Ethnic,0.8410017472335468,0.8554502369668247,844,0.827033218785796,873
