model,scope,class_name,support,prevalence,average_precision,roc_auc,true_top1,true_top2,true_top3,true_probability_median,largest_probability
E6,folds_0_4,Party,6,0.0004576659038901602,0.047490397249131684,0.8487484737484738,0.0,0.0,0.3333333333333333,0.0067308501,0.16748425
E6,folds_0_4,Smart Casual,18,0.0013729977116704805,0.07599432462378108,0.8970872797637235,0.0,0.3333333333333333,0.5555555555555556,0.013656371,0.43118644
E6,folds_0_4,Sports,1338,0.10205949656750572,0.7383494609014541,0.941414053107701,0.6068759342301944,0.976831091180867,0.9985052316890882,0.61319325,0.99696004
E6,folds_0_4,Travel,8,0.0006102212051868803,0.13714181061085076,0.838011372309571,0.125,0.125,0.625,0.0031986243000000003,0.88452035
E7,all_available_folds,Casual,25151,0.767453924081533,0.9455508502758787,0.8672992425318065,0.935986640690231,0.995745695996183,0.9995228817939644,0.9257825,0.99797255
E7,all_available_folds,Ethnic,2183,0.06661174173074576,0.8221560008587047,0.9679996283682888,0.7292716445258818,0.9271644525881814,0.9679340357306458,0.8437062,0.99677163
E7,all_available_folds,Formal,1949,0.05947150006102771,0.7208567483065571,0.9456541343565996,0.6316059517701386,0.8506926629040533,0.9461262185736276,0.6481946,0.99552464
E7,all_available_folds,Home,1,3.0513853289393385e-05,3.7420948246828576e-05,0.18458393091452807,0.0,0.0,0.0,4.8851945e-07,0.39144272
E7,all_available_folds,NA,61,0.0018613450506529965,0.06417733933713966,0.8197117227823798,0.18032786885245902,0.26229508196721313,0.45901639344262296,0.01293266,0.9632418
E7,all_available_folds,Party,12,0.0003661662394727206,0.002817014959016567,0.6356634106634107,0.0,0.08333333333333333,0.25,4.76775385e-05,0.6800135
E7,all_available_folds,Smart Casual,47,0.001434151104601489,0.007618999795770632,0.7150880158639858,0.02127659574468085,0.2765957446808511,0.44680851063829785,0.0053488845,0.82645124
E7,all_available_folds,Sports,3346,0.10209935310631027,0.6076842560742949,0.8901098225302947,0.46264196054991036,0.9079497907949791,0.9772863120143455,0.42516513,0.99007773
