method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03007932,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02365673,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.49040229,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.37819778,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.71465201,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.43709768,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.21399573,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.09997747,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03361806,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02505918,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.47650324,6552,104,
