label,count,share,is_blank,column
10252,1,2.589868434683518e-05,False,id
10253,1,2.589868434683518e-05,False,id
10254,1,2.589868434683518e-05,False,id
10255,1,2.589868434683518e-05,False,id
10256,1,2.589868434683518e-05,False,id
10257,1,2.589868434683518e-05,False,id
10258,1,2.589868434683518e-05,False,id
10259,1,2.589868434683518e-05,False,id
10260,1,2.589868434683518e-05,False,id
10261,1,2.589868434683518e-05,False,id
10262,1,2.589868434683518e-05,False,id
10263,1,2.589868434683518e-05,False,id
10264,1,2.589868434683518e-05,False,id
10265,1,2.589868434683518e-05,False,id
10266,1,2.589868434683518e-05,False,id
10267,1,2.589868434683518e-05,False,id
10268,1,2.589868434683518e-05,False,id
10269,1,2.589868434683518e-05,False,id
10270,1,2.589868434683518e-05,False,id
10271,1,2.589868434683518e-05,False,id
10272,1,2.589868434683518e-05,False,id
10273,1,2.589868434683518e-05,False,id
10274,1,2.589868434683518e-05,False,id
10275,1,2.589868434683518e-05,False,id
10276,1,2.589868434683518e-05,False,id
10277,1,2.589868434683518e-05,False,id
10278,1,2.589868434683518e-05,False,id
10279,1,2.589868434683518e-05,False,id
10280,1,2.589868434683518e-05,False,id
10281,1,2.589868434683518e-05,False,id
10282,1,2.589868434683518e-05,False,id
10283,1,2.589868434683518e-05,False,id
10284,1,2.589868434683518e-05,False,id
10285,1,2.589868434683518e-05,False,id
10286,1,2.589868434683518e-05,False,id
10287,1,2.589868434683518e-05,False,id
10288,1,2.589868434683518e-05,False,id
10289,1,2.589868434683518e-05,False,id
10290,1,2.589868434683518e-05,False,id
10292,1,2.589868434683518e-05,False,id
10293,1,2.589868434683518e-05,False,id
10294,1,2.589868434683518e-05,False,id
10295,1,2.589868434683518e-05,False,id
10296,1,2.589868434683518e-05,False,id
10297,1,2.589868434683518e-05,False,id
10298,1,2.589868434683518e-05,False,id
10299,1,2.589868434683518e-05,False,id
10300,1,2.589868434683518e-05,False,id
10301,1,2.589868434683518e-05,False,id
10302,1,2.589868434683518e-05,False,id
10303,1,2.589868434683518e-05,False,id
10304,1,2.589868434683518e-05,False,id
10305,1,2.589868434683518e-05,False,id
10306,1,2.589868434683518e-05,False,id
10307,1,2.589868434683518e-05,False,id
10308,1,2.589868434683518e-05,False,id
10309,1,2.589868434683518e-05,False,id
10312,1,2.589868434683518e-05,False,id
10313,1,2.589868434683518e-05,False,id
10314,1,2.589868434683518e-05,False,id
10315,1,2.589868434683518e-05,False,id
10316,1,2.589868434683518e-05,False,id
10317,1,2.589868434683518e-05,False,id
10318,1,2.589868434683518e-05,False,id
10319,1,2.589868434683518e-05,False,id
10320,1,2.589868434683518e-05,False,id
10321,1,2.589868434683518e-05,False,id
10322,1,2.589868434683518e-05,False,id
10323,1,2.589868434683518e-05,False,id
10324,1,2.589868434683518e-05,False,id
10325,1,2.589868434683518e-05,False,id
10326,1,2.589868434683518e-05,False,id
10327,1,2.589868434683518e-05,False,id
10328,1,2.589868434683518e-05,False,id
10329,1,2.589868434683518e-05,False,id
10330,1,2.589868434683518e-05,False,id
10331,1,2.589868434683518e-05,False,id
10332,1,2.589868434683518e-05,False,id
10333,1,2.589868434683518e-05,False,id
10334,1,2.589868434683518e-05,False,id
10335,1,2.589868434683518e-05,False,id
10336,1,2.589868434683518e-05,False,id
10338,1,2.589868434683518e-05,False,id
10339,1,2.589868434683518e-05,False,id
10340,1,2.589868434683518e-05,False,id
10341,1,2.589868434683518e-05,False,id
10342,1,2.589868434683518e-05,False,id
10343,1,2.589868434683518e-05,False,id
10344,1,2.589868434683518e-05,False,id
10345,1,2.589868434683518e-05,False,id
10346,1,2.589868434683518e-05,False,id
10347,1,2.589868434683518e-05,False,id
10348,1,2.589868434683518e-05,False,id
10350,1,2.589868434683518e-05,False,id
10351,1,2.589868434683518e-05,False,id
10352,1,2.589868434683518e-05,False,id
10354,1,2.589868434683518e-05,False,id
10355,1,2.589868434683518e-05,False,id
10356,1,2.589868434683518e-05,False,id
10357,1,2.589868434683518e-05,False,id
10358,1,2.589868434683518e-05,False,id
10359,1,2.589868434683518e-05,False,id
10360,1,2.589868434683518e-05,False,id
10361,1,2.589868434683518e-05,False,id
10362,1,2.589868434683518e-05,False,id
10363,1,2.589868434683518e-05,False,id
10364,1,2.589868434683518e-05,False,id
10365,1,2.589868434683518e-05,False,id
10366,1,2.589868434683518e-05,False,id
10367,1,2.589868434683518e-05,False,id
10369,1,2.589868434683518e-05,False,id
10370,1,2.589868434683518e-05,False,id
10371,1,2.589868434683518e-05,False,id
10372,1,2.589868434683518e-05,False,id
10373,1,2.589868434683518e-05,False,id
10374,1,2.589868434683518e-05,False,id
10376,1,2.589868434683518e-05,False,id
10377,1,2.589868434683518e-05,False,id
10378,1,2.589868434683518e-05,False,id
10379,1,2.589868434683518e-05,False,id
10380,1,2.589868434683518e-05,False,id
10381,1,2.589868434683518e-05,False,id
10382,1,2.589868434683518e-05,False,id
10383,1,2.589868434683518e-05,False,id
10384,1,2.589868434683518e-05,False,id
10385,1,2.589868434683518e-05,False,id
10386,1,2.589868434683518e-05,False,id
10387,1,2.589868434683518e-05,False,id
10388,1,2.589868434683518e-05,False,id
10389,1,2.589868434683518e-05,False,id
10390,1,2.589868434683518e-05,False,id
10391,1,2.589868434683518e-05,False,id
10392,1,2.589868434683518e-05,False,id
10393,1,2.589868434683518e-05,False,id
10394,1,2.589868434683518e-05,False,id
10395,1,2.589868434683518e-05,False,id
10396,1,2.589868434683518e-05,False,id
10397,1,2.589868434683518e-05,False,id
10398,1,2.589868434683518e-05,False,id
10399,1,2.589868434683518e-05,False,id
10400,1,2.589868434683518e-05,False,id
10401,1,2.589868434683518e-05,False,id
10402,1,2.589868434683518e-05,False,id
10403,1,2.589868434683518e-05,False,id
10404,1,2.589868434683518e-05,False,id
10405,1,2.589868434683518e-05,False,id
10406,1,2.589868434683518e-05,False,id
10407,1,2.589868434683518e-05,False,id
10408,1,2.589868434683518e-05,False,id
10409,1,2.589868434683518e-05,False,id
10410,1,2.589868434683518e-05,False,id
10411,1,2.589868434683518e-05,False,id
10412,1,2.589868434683518e-05,False,id
10413,1,2.589868434683518e-05,False,id
10414,1,2.589868434683518e-05,False,id
10415,1,2.589868434683518e-05,False,id
10418,1,2.589868434683518e-05,False,id
10421,1,2.589868434683518e-05,False,id
10423,1,2.589868434683518e-05,False,id
10424,1,2.589868434683518e-05,False,id
10425,1,2.589868434683518e-05,False,id
10426,1,2.589868434683518e-05,False,id
10427,1,2.589868434683518e-05,False,id
10428,1,2.589868434683518e-05,False,id
10429,1,2.589868434683518e-05,False,id
10430,1,2.589868434683518e-05,False,id
10431,1,2.589868434683518e-05,False,id
10432,1,2.589868434683518e-05,False,id
10433,1,2.589868434683518e-05,False,id
10434,1,2.589868434683518e-05,False,id
10435,1,2.589868434683518e-05,False,id
10436,1,2.589868434683518e-05,False,id
10437,1,2.589868434683518e-05,False,id
10438,1,2.589868434683518e-05,False,id
10439,1,2.589868434683518e-05,False,id
10440,1,2.589868434683518e-05,False,id
10441,1,2.589868434683518e-05,False,id
10442,1,2.589868434683518e-05,False,id
10443,1,2.589868434683518e-05,False,id
10444,1,2.589868434683518e-05,False,id
10445,1,2.589868434683518e-05,False,id
10446,1,2.589868434683518e-05,False,id
10447,1,2.589868434683518e-05,False,id
10448,1,2.589868434683518e-05,False,id
10449,1,2.589868434683518e-05,False,id
10450,1,2.589868434683518e-05,False,id
10451,1,2.589868434683518e-05,False,id
10452,1,2.589868434683518e-05,False,id
10453,1,2.589868434683518e-05,False,id
10454,1,2.589868434683518e-05,False,id
10455,1,2.589868434683518e-05,False,id
10456,1,2.589868434683518e-05,False,id
10457,1,2.589868434683518e-05,False,id
10458,1,2.589868434683518e-05,False,id
10459,1,2.589868434683518e-05,False,id
10460,1,2.589868434683518e-05,False,id
10461,1,2.589868434683518e-05,False,id
10462,1,2.589868434683518e-05,False,id
10463,1,2.589868434683518e-05,False,id
10464,1,2.589868434683518e-05,False,id
10465,1,2.589868434683518e-05,False,id
10466,1,2.589868434683518e-05,False,id
10467,1,2.589868434683518e-05,False,id
10468,1,2.589868434683518e-05,False,id
10469,1,2.589868434683518e-05,False,id
10470,1,2.589868434683518e-05,False,id
10471,1,2.589868434683518e-05,False,id
10472,1,2.589868434683518e-05,False,id
10473,1,2.589868434683518e-05,False,id
10474,1,2.589868434683518e-05,False,id
10475,1,2.589868434683518e-05,False,id
10476,1,2.589868434683518e-05,False,id
