id_left,id_right,distance,dhash_left,dhash_right
9230,14287,1,4d4d0f1333171717,4d4d0f3333171717
9230,31624,1,4d4d0f1333171717,4d4d0f3333171717
12015,14523,1,4d4d0f3333171717,0d4d0f3333171717
12015,17553,1,4d4d0f3333171717,0d4d0f3333171717
12015,26062,1,4d4d0f3333171717,4d4d0f3333371717
13870,21150,1,4d4d0f3333232b17,4d4d0f33332b2b17
14287,14523,1,4d4d0f3333171717,0d4d0f3333171717
14287,17553,1,4d4d0f3333171717,0d4d0f3333171717
14287,26062,1,4d4d0f3333171717,4d4d0f3333371717
14523,30786,1,0d4d0f3333171717,0d4d0f3333170717
14523,31624,1,0d4d0f3333171717,4d4d0f3333171717
15950,15959,1,4d4e4b494a4a4a4a,4d4e4b494a4a484a
17553,30786,1,0d4d0f3333171717,0d4d0f3333170717
17553,31624,1,0d4d0f3333171717,4d4d0f3333171717
22548,23610,1,004d4d4d4d4d4d0c,000d4d4d4d4d4d0c
22548,44151,1,004d4d4d4d4d4d0c,004d4d4d4d4d0d0c
22558,23596,1,004d0d0d0d8d0d00,004d0d0d0d0d0d00
23553,23610,1,004d4d4d4d4d4d0c,000d4d4d4d4d4d0c
23553,44151,1,004d4d4d4d4d4d0c,004d4d4d4d4d0d0c
23609,23610,1,000c4d4d4d4d4d0c,000d4d4d4d4d4d0c
24253,39985,1,1806390e07074009,1806390e07034009
25677,45254,1,0f4d8e17178e4d0d,0d4d8e17178e4d0d
26062,31624,1,4d4d0f3333371717,4d4d0f3333171717
26213,28257,1,004d4d4d4d4d4d00,000d4d4d4d4d4d00
28257,45766,1,000d4d4d4d4d4d00,004d4d4d4d4d4d00
28257,46630,1,000d4d4d4d4d4d00,004d4d4d4d4d4d00
28257,46635,1,000d4d4d4d4d4d00,000c4d4d4d4d4d00
28257,46669,1,000d4d4d4d4d4d00,004d4d4d4d4d4d00
32046,33945,1,4d4d0f333323371e,4d4d0f333323171e
36405,46878,1,9c9d9d9d9d0e4626,9c9d9d9f9d0e4626
36413,46878,1,9c9d9d9d9d0e4626,9c9d9d9f9d0e4626
44151,44957,1,004d4d4d4d4d0d0c,004d4d4d4d4d0d08
49092,49135,1,042d25250d5d5d00,042525250d5d5d00
49138,49160,1,000e060f4c4d0d00,000e060e4c4d0d00
49150,49162,1,080c0c0c0c0c0c00,000c0c0c0c0c0c00
49688,49731,1,180c2d0d2d0d4d0d,180d2d0d2d0d4d0d
1810,2171,2,4d4d0e0f33155517,4d4d0e0f3b151517
1848,14518,2,0d4d0e3733171717,0d0d0e3633171717
1848,14523,2,0d4d0e3733171717,0d4d0f3333171717
1848,17553,2,0d4d0e3733171717,0d4d0f3333171717
1848,20026,2,0d4d0e3733171717,0d4d0e3333171716
3921,8901,2,9696969696969616,969696969696b636
3921,10260,2,9696969696969616,969696969696b636
4745,25394,2,4d4d0f333323338e,4d4d0f332323238e
4787,9082,2,9696969696969636,9696969696969696
4943,22621,2,000e171796969600,000e331796969600
5667,7788,2,0f4d96333717160e,0f4d16331717160e
5667,23208,2,0f4d96333717160e,0d4d96333717170e
5667,24061,2,0f4d96333717160e,0f4d16331717160e
7636,8901,2,9696969696b63636,969696969696b636
7636,10260,2,9696969696b63636,969696969696b636
7782,8901,2,9696969696b63636,969696969696b636
