file_sha256,pixel_sha256,ids,count
1a27ca26ea11c3ab321cb890f2cf923aea13194f714e19345aedacf5a4143c34,5953909ffca06c02d1cf449ab9fa3517e9faca2b9189c861ac9558db4f144686,"(4902, 4903)",2
1a2c0e10e10f17c3b237956f4db4160ddc9aec4a0a9090e353f098ba2cfab3fa,64b51f75ef3bb8f841c8c5ff4b7345aca0f36106aa8677a9a8fcc55f69c52fea,"(20526, 20536)",2
1a6cf9737a77201333c3f20381b74bba19d441a1c29ffc66bcd17261c79b41b7,d7eca59191613b471418b9ca5c9e3fc3a93d09836db97dc83199e78a74617b49,"(13860, 13861)",2
1a939234d930b4b8a2e6c5af1272abb707f8002905352137f7e3a2791391dd5b,cd9328da5b9f7eaac12dc93ca37248388a7c9ab2cc2b8ca65438c5e6fcde334b,"(29609, 31612)",2
1af481ea1891f629baebf8de53df72958be07d1483a648b613946c8a83a86d40,aa8dc77a1065bd30def86972727511aece5a7d6f6598a851cace79d8ba8bac43,"(31151, 34170, 34171)",3
1b06fa8d40a5f0d27a6f747f4a9894b742e8495ca237f38472612cebde725fd8,b4cb09909a3413336e50040b92d27307765bfd3bac65ed5edc151ec7a8adf7fa,"(31109, 34020, 34021)",3
1b1a864dd1a0e53fc25fc5049271b499726ece8a35caad2d6b89f81ea0de8dcc,b761eeeefa10c0cde91c427d196abe7127ab15791fe9a416eb90dfff4992c585,"(4870, 4871)",2
1b727fc7c1405c9f35a6429dd92ea6d37b45f59166cdd9807a58bd65739e89d3,3f30d3f9db5473b9c8daed0de518bc15607df7090d125b61a6ed9948d42e3fd4,"(34098, 35438)",2
1bb59d6fcb6585c0a0fedb8dde9ef7972ed718941dbf09bdda837728c225c0ad,6b2031caf905f07c18a4e4b65870da7e27c8710bcaff4b2a18620375c0db5161,"(13864, 13865)",2
1c6b250cc47ba1797697f6335f035ad37306795819ab22bb4cbda02052532e20,0c2e888dc0cf5ef712b08f373496f08353aca70c3d7ef061ba717cc3dc7e2426,"(8942, 9660)",2
1cd1e4e727ffa002830b6561eaf5cd87d570b286765940538c7bd02c024339bd,c32b9847a6c2c2858583c7bfd31980e19e2ce3ffaff67478c2b19abd1815c256,"(9473, 9474)",2
1d13e70ab463db198688d7d4d0cc9fbc15f0b892f8e75497c87266c4d6b16a18,12e565c66281c8f933364e53fd5ea004b292f9eb89a274047b7b2dbc0eb65b9c,"(8418, 8419)",2
1d2da9904d35c7b48db04484765f3532ca107ade411552cd1da8d29cd3e1c320,1b010ce5b2a020c52f30cbcb9110231ddede304ef3997969f6fb1c9c4f717950,"(8896, 9653)",2
1d409d21215cc3d0ae48f2b41596e54edf04a18bbf62cfb98b60a0cb52d631e7,5b457e6f845d547374462f2bfaaf6c274619da6247d82027f2d7547c87c3142c,"(8779, 9649)",2
