gender,articleType,n,correct,recall,fold
Men,Tunics,1,1,1.0,4
Men,Waist Pouch,1,1,1.0,4
Men,Waistcoat,4,4,1.0,4
Men,Wallets,278,275,0.9892086330935251,4
Men,Watches,892,887,0.9943946188340808,4
Men,Water Bottle,2,2,1.0,4
Unisex,Backpacks,417,410,0.9832134292565947,4
Unisex,Basketballs,10,10,1.0,4
Unisex,Belts,6,0,0.0,4
Unisex,Caps,96,95,0.9895833333333334,4
Unisex,Casual Shoes,150,115,0.7666666666666667,4
Unisex,Deodorant,3,0,0.0,4
Unisex,Duffel Bag,53,52,0.9811320754716981,4
Unisex,Flip Flops,101,83,0.8217821782178217,4
Unisex,Footballs,6,6,1.0,4
Unisex,Fragrance Gift Set,1,0,0.0,4
Unisex,Free Gifts,1,1,1.0,4
Unisex,Handbags,38,33,0.868421052631579,4
Unisex,Hat,2,2,1.0,4
Unisex,Headband,5,3,0.6,4
Unisex,Jackets,1,0,0.0,4
Unisex,Jeans,3,3,1.0,4
Unisex,Key chain,1,0,0.0,4
Unisex,Laptop Bag,34,30,0.8823529411764706,4
Unisex,Messenger Bag,22,20,0.9090909090909091,4
Unisex,Mobile Pouch,6,6,1.0,4
Unisex,Mufflers,1,1,1.0,4
Unisex,Perfume and Body Mist,7,6,0.8571428571428571,4
Unisex,Rain Jacket,1,1,1.0,4
Unisex,Rucksacks,8,8,1.0,4
Unisex,Sandals,64,54,0.84375,4
