candidate,experiment_id,seed,slice_family,slice_name,support,low_support,labels_present,accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_true_probability,nll,brier,ece,recall_Fall,recall_Spring,recall_Summer,recall_Winter
C2,g3-c2-t0-resnet18,2753,file_size_quartile,q1_smallest,8187,False,4,0.7538780994259191,0.6262010336892765,0.6518472872741952,0.8172931518836585,0.6982300022456461,0.6275797731628923,0.3482182938110482,0.06420227884906193,0.749526066350711,0.25842696629213485,0.7863247863247863,0.7105263157894737
C2,g3-c2-t0-resnet18,2753,file_size_quartile,q2,8192,False,4,0.7452392578125,0.6935907419504049,0.7276583489913098,0.8034655726514757,0.6835783366333976,0.6693779495742371,0.3600715599602002,0.06172025367192471,0.5764172335600907,0.6796407185628742,0.8619582664526485,0.6563467492260062
C2,g3-c2-t0-resnet18,2753,file_size_quartile,q3,8181,False,4,0.7126268182373793,0.6548109621071585,0.6884452767983671,0.7743366718722094,0.6463245698304264,0.7602527743513167,0.3994246316884435,0.06309358841137672,0.3829634931997137,0.7009803921568627,0.8410813542193026,0.6942186088527552
C2,g3-c2-t0-resnet18,2753,file_size_quartile,q4_largest,8193,False,4,0.7793238130111071,0.6616345815100392,0.7084082979809507,0.8184907019181986,0.7144758867847923,0.6058456451431431,0.31671190445897895,0.0450151088242748,0.4972875226039783,0.5408163265306123,0.8762823143208863,0.7321521625846795
C2,g3-c2-t0-resnet18,2753,image_mode,greyscale,294,False,4,0.7482993197278912,0.5793447613599216,0.6126126263241203,0.7362578370335962,0.6286793038071621,0.7088087402510442,0.38045069213078486,0.06351613881216527,0.1875,0.5,0.8509316770186336,0.7789473684210526
C2,g3-c2-t0-resnet18,2753,image_mode,other_mode,0,True,0,,,,,,,,,,,,
C2,g3-c2-t0-resnet18,2753,image_mode,rgb,32459,False,4,0.7477741150374319,0.6992025945045629,0.7352462844242935,0.8040128110831163,0.6861805136626857,0.6653461694380244,0.35587142032145574,0.058053442520695206,0.619716726618705,0.6311413454270597,0.8469578200821202,0.6989944858903665
C2,g3-c2-t0-resnet18,2753,product_family_size,multirow,13730,False,4,0.7664967225054625,0.686518991232948,0.726528633161754,0.8081452061030783,0.7001729237174467,0.6191944834238602,0.33254735012607456,0.04421929790054952,0.6734515847630125,0.49193548387096775,0.8390386016023307,0.7416502946954814
C2,g3-c2-t0-resnet18,2753,product_family_size,singleton,19023,False,4,0.7342690427377385,0.6953828778501553,0.7291637304151487,0.7999830709793136,0.6751927017639634,0.6993282250966221,0.37308562363820524,0.06777563652474798,0.5835306977591547,0.6844305120167189,0.8528281750266808,0.6607421265980667
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,acquisition_year,dominant_2011_2012,22896,False,4,0.7617924528301887,0.5891018507815847,0.5688989988282935,0.799819129557563,0.6929225728964455,0.606926963639665,0.3381378002016302,0.04209648405466849,0.6693734092837231,0.21019108280254778,0.8316075493867959,0.6452353616532721
