model,run_id,validation_fold,corruption,loss,macro_f1,macro_f1_change,nll,ece_15
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f4_s2753_f87812b0c178_20260831T040612Z397d10,4,brightness_115,1.7793132537971206,0.3367395717133096,-0.0295618915738604,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f4_s2753_f87812b0c178_20260831T040612Z397d10,4,translation_003,2.277105562019617,0.2470536582521186,-0.1192478050350513,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f4_s2753_f87812b0c178_20260831T040612Z397d10,4,grayscale,1.6009326018520802,0.3944472421005659,0.0281457788133958,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f0_s2753_0ccaa3f16434_20260831T065319Z338806,0,jpeg_75,1.0417027367996912,0.4178362202028806,0.0124222993283703,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f0_s2753_0ccaa3f16434_20260831T065319Z338806,0,brightness_085,1.2025816458835938,0.3199481335504329,-0.0854657873240773,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f0_s2753_0ccaa3f16434_20260831T065319Z338806,0,brightness_115,1.0716705634627983,0.4026527085301056,-0.0027612123444047,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f0_s2753_0ccaa3f16434_20260831T065319Z338806,0,translation_003,1.1800849230178494,0.3166078437504688,-0.0888060771240415,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f0_s2753_0ccaa3f16434_20260831T065319Z338806,0,grayscale,1.06740147223102,0.4146791865880409,0.0092652657135305,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f1_s2753_0ccaa3f16434_20260831T070200Zba9896,1,jpeg_75,1.0474073781918862,0.3796592650586239,-0.0009626735621846,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f1_s2753_0ccaa3f16434_20260831T070200Zba9896,1,brightness_085,1.1358455447551206,0.3218351209918325,-0.058786817628976,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f1_s2753_0ccaa3f16434_20260831T070200Zba9896,1,brightness_115,1.1395611775314305,0.3545604079707576,-0.0260615306500509,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f1_s2753_0ccaa3f16434_20260831T070200Zba9896,1,translation_003,1.2209585032199912,0.3181253322094476,-0.0624966064113609,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f1_s2753_0ccaa3f16434_20260831T070200Zba9896,1,grayscale,1.0847647156480127,0.3675556679607041,-0.0130662706601044,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f2_s2753_0ccaa3f16434_20260831T071044Zb8469e,2,jpeg_75,0.921803054921106,0.4038029258482705,-0.0029772565428494,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f2_s2753_0ccaa3f16434_20260831T071044Zb8469e,2,brightness_085,1.2578498936827944,0.2876975092285297,-0.1190826731625901,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f2_s2753_0ccaa3f16434_20260831T071044Zb8469e,2,brightness_115,1.026564074925853,0.387177481855441,-0.0196027005356789,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f2_s2753_0ccaa3f16434_20260831T071044Zb8469e,2,translation_003,1.0813514822262136,0.3252211996999007,-0.0815589826912192,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f2_s2753_0ccaa3f16434_20260831T071044Zb8469e,2,grayscale,0.9582710059551388,0.4263308051256639,0.019550622734544,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f3_s2753_0ccaa3f16434_20260831T071926Z24011b,3,jpeg_75,0.964569574371061,0.4088348005589073,-0.004805441498116,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f3_s2753_0ccaa3f16434_20260831T071926Z24011b,3,brightness_085,1.2475866708585217,0.3034325712721568,-0.1102076707848665,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f3_s2753_0ccaa3f16434_20260831T071926Z24011b,3,brightness_115,1.044630452162708,0.3458465773851761,-0.0677936646718472,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f3_s2753_0ccaa3f16434_20260831T071926Z24011b,3,translation_003,1.0952708278807644,0.3566548512885578,-0.0569853907684655,,
E5,t3_usage_e5_label_smoothing_usage_smallcnn_f3_s2753_0ccaa3f16434_20260831T071926Z24011b,3,grayscale,1.0405552757270522,0.3607150440411077,-0.0529251980159156,,
