candidate,calibration_method,requested_coverage,coverage,review_rate,retained_count,review_count,confidence_threshold,accepted_correct_count,selective_accuracy,selective_risk,selective_macro_f1,accepted_id_sha256
C2,cross_fitted_temperature,0.79,0.7900039691020669,0.20999603089793306,25875,6878,0.5497201217957963,21048,0.8134492753623188,0.1865507246376812,0.8110469333770143,1a13ac6f2fb1106b681e865c0ee3f169c55b1d6fb2918fb9c82d2bdd6ed76f3e
C2,cross_fitted_temperature,0.8,0.8000183189326169,0.19998168106738312,26203,6550,0.5432445554065785,21245,0.8107850246155021,0.18921497538449794,0.8080077434398591,fa500a14eabd72288f187ace3961c0d5d03473a5c6873824340002e20e718999
C2,cross_fitted_temperature,0.81,0.8100021372088053,0.18999786279119468,26530,6223,0.5361916785288016,21432,0.8078401809272522,0.19215981907274782,0.8051381992248363,520c7cb730a264cc60be057d5c398284f5beee000b54f150d12419183d8071d0
C2,cross_fitted_temperature,0.82,0.8200164870393551,0.17998351296064485,26858,5895,0.5293527487875471,21601,0.8042668850994117,0.1957331149005883,0.8010721768962332,7e12752a06a7b1f84fb7d18e76f95d0833008091507426b1364b6a69d1723e87
C2,cross_fitted_temperature,0.83,0.8300003053155436,0.16999969468445641,27185,5568,0.5224011934182777,21784,0.8013242597020416,0.19867574029795843,0.7974539220048111,cf827b34f800f9c63aa1cf1faeb29930304dc38e8dcde2d2af0673e750620f13
C2,cross_fitted_temperature,0.84,0.8400146551460935,0.15998534485390647,27513,5240,0.5160130252227041,21947,0.7976956347908262,0.20230436520917383,0.7933159469483647,8e714ba60a5cbb2c7a5f9600faeebf600fdb501266c7b398bb9b148c57468eb0
C2,cross_fitted_temperature,0.85,0.8500290049766434,0.14997099502335665,27841,4912,0.5091672255330137,22106,0.7940088358895154,0.20599116411048457,0.7892024237618525,5e37cae5288759804af659c6ac01961d958f578abf68eb04a6801dd29774cc44
C2,cross_fitted_temperature,0.86,0.8600128232528318,0.1399871767471682,28168,4585,0.502878133429244,22277,0.7908619710309571,0.20913802896904288,0.786377808374414,5c22ee04eed30c1dcf80667e29c00940f1c1651d5892786ff44ff67b837d71db
C2,cross_fitted_temperature,0.87,0.8700271730833816,0.12997282691661838,28496,4257,0.49675529728572065,22454,0.7879702414373947,0.2120297585626053,0.7837614829615218,7f635f24164649f8f327567ee15a81bad93b2375b3cc71e7798510b99448b17f
C2,cross_fitted_temperature,0.88,0.8800109913595701,0.11998900864042994,28823,3930,0.49017824901124546,22628,0.7850674808312805,0.21493251916871947,0.780782270303735,2dfee934e7ea2fa774265f786c6b2c1b49db34048d6e2a7a058cf920dac27bde
C2,cross_fitted_temperature,0.89,0.89002534119012,0.10997465880988,29151,3602,0.482952484763923,22793,0.7818942746389489,0.2181057253610511,0.7776938136145584,668c4c52830c29a2d2e49d4c6e32d08d0e62bc7cacbbc02066c1d4d0aac2fc3d
C2,cross_fitted_temperature,0.9,0.9000091594663084,0.09999084053369156,29478,3275,0.4757651868648846,22980,0.779564420924079,0.22043557907592104,0.77494933330259,7153e638b6a80cad5583a4dedde1cfc7b1614bc85b0517a20095c501ba8bd15c
C2,cross_fitted_temperature,0.91,0.9100235092968583,0.08997649070314173,29806,2947,0.46725091966279586,23137,0.7762531034019996,0.2237468965980004,0.7715598918157569,06a8f14891a808d985b280cf470515c430851d0be9b1ea5971b9a3d3d42cd88c
C2,cross_fitted_temperature,0.92,0.9200073275730467,0.07999267242695329,30133,2620,0.4576036787900417,23294,0.7730395247735041,0.22696047522649587,0.7675345455379503,c572b6154c2ee84a9cf994edf9943e3a92d0e24479a6a3e6634be81c9dd72c7a
