model,fold,class,support,predicted,tp,recall,f1
usage_E9,4,Home,1,0,0,0.0,0.0
usage_E9,4,NA,11,30,4,0.36363636363636365,0.1951219512195122
usage_E9,4,Party,3,1,1,0.3333333333333333,0.5
usage_E9,4,Smart Casual,9,15,1,0.1111111111111111,0.08333333333333333
usage_E9,4,Sports,670,831,438,0.6537313432835821,0.5836109260493004
usage_E9,4,Travel,4,5,0,0.0,0.0
gender_E6,all,Boys,684,630,431,0.6301169590643275,0.6560121765601218
gender_E6,all,Girls,543,480,301,0.5543278084714549,0.5884652981427175
gender_E6,all,Men,17753,18362,16771,0.944685405283614,0.9287553648068669
gender_E6,all,Unisex,1766,1339,915,0.5181200453001132,0.5893719806763285
gender_E6,all,Women,12027,11962,10855,0.9025525900058202,0.904998124140231
gender_E6,0,Boys,136,119,80,0.5882352941176471,0.6274509803921569
gender_E6,0,Girls,107,95,55,0.514018691588785,0.5445544554455446
gender_E6,0,Men,3550,3681,3352,0.9442253521126761,0.9271193472548749
gender_E6,0,Unisex,355,264,186,0.523943661971831,0.6009693053311793
gender_E6,0,Women,2405,2394,2155,0.896049896049896,0.8981037716190873
gender_E6,1,Boys,138,134,90,0.6521739130434783,0.6617647058823529
gender_E6,1,Girls,110,117,70,0.6363636363636364,0.6167400881057269
gender_E6,1,Men,3551,3658,3350,0.9433962264150944,0.9293938132889443
gender_E6,1,Unisex,352,268,186,0.5284090909090909,0.6
gender_E6,1,Women,2405,2379,2165,0.9002079002079002,0.9051003344481605
gender_E6,2,Boys,136,129,85,0.625,0.6415094339622641
gender_E6,2,Girls,109,87,59,0.5412844036697247,0.6020408163265306
gender_E6,2,Men,3550,3643,3334,0.9391549295774648,0.9270123731405533
gender_E6,2,Unisex,352,263,174,0.4943181818181818,0.5658536585365853
gender_E6,2,Women,2406,2431,2194,0.9118869492934331,0.9071738681000621
gender_E6,3,Boys,136,119,89,0.6544117647058824,0.6980392156862745
gender_E6,3,Girls,108,97,63,0.5833333333333334,0.6146341463414634
gender_E6,3,Men,3550,3702,3370,0.9492957746478873,0.9293987865416437
gender_E6,3,Unisex,354,264,185,0.5225988700564972,0.598705501618123
gender_E6,3,Women,2406,2372,2166,0.9002493765586035,0.9066555043951444
gender_E6,4,Boys,138,129,87,0.6304347826086957,0.651685393258427
gender_E6,4,Girls,109,84,54,0.4954128440366973,0.5595854922279793
gender_E6,4,Men,3552,3678,3365,0.9473536036036037,0.9308437067773168
gender_E6,4,Unisex,353,280,184,0.5212464589235127,0.5813586097946287
gender_E6,4,Women,2405,2386,2175,0.9043659043659044,0.9079524107701941
gender_G2_screen,all,Boys,274,268,182,0.6642335766423357,0.6715867158671587
gender_G2_screen,all,Girls,216,192,122,0.5648148148148148,0.5980392156862745
gender_G2_screen,all,Men,7102,7317,6754,0.9509997183891862,0.9368194743047368
gender_G2_screen,all,Unisex,708,560,383,0.5409604519774012,0.6041009463722398
gender_G2_screen,all,Women,4810,4773,4399,0.9145530145530145,0.9180841072732965
gender_G2_screen,0,Boys,136,116,88,0.6470588235294118,0.6984126984126984
gender_G2_screen,0,Girls,107,110,70,0.6542056074766355,0.6451612903225806
gender_G2_screen,0,Men,3550,3683,3380,0.952112676056338,0.9346052813493709
gender_G2_screen,0,Unisex,355,255,186,0.523943661971831,0.6098360655737705
gender_G2_screen,0,Women,2405,2389,2192,0.9114345114345115,0.9144764288694202
gender_G2_screen,4,Boys,138,152,94,0.6811594202898551,0.6482758620689655
gender_G2_screen,4,Girls,109,82,52,0.47706422018348627,0.5445026178010471
gender_G2_screen,4,Men,3552,3634,3374,0.9498873873873874,0.9390481491789591
gender_G2_screen,4,Unisex,353,305,197,0.5580736543909348,0.5987841945288754
gender_G2_screen,4,Women,2405,2384,2207,0.9176715176715177,0.9216955523073711
