fold,model,condition,label,support,precision,recall,f1,predicted_count
0,G2,gray,Women,2405,0.9185639229422067,0.8723492723492724,0.8948603113670293,2284
0,E6,clean,Boys,136,0.6722689075630253,0.5882352941176471,0.6274509803921569,119
0,E6,clean,Girls,107,0.5789473684210527,0.514018691588785,0.5445544554455446,95
0,E6,clean,Men,3550,0.9106221135560989,0.9442253521126761,0.9271193472548749,3681
0,E6,clean,Unisex,355,0.7045454545454546,0.523943661971831,0.6009693053311793,264
0,E6,clean,Women,2405,0.9001670843776107,0.896049896049896,0.8981037716190873,2394
0,E6,gray,Boys,136,0.7227722772277227,0.5367647058823529,0.6160337552742616,101
0,E6,gray,Girls,107,0.5303030303030303,0.32710280373831774,0.4046242774566474,66
0,E6,gray,Men,3550,0.8744845360824742,0.9557746478873239,0.9133243606998654,3880
0,E6,gray,Unisex,355,0.7206477732793523,0.5014084507042254,0.5913621262458472,247
0,E6,gray,Women,2405,0.9083665338645418,0.8532224532224533,0.8799313893653516,2259
4,D30,clean,Boys,138,0.6462585034013606,0.6884057971014492,0.6666666666666666,147
4,D30,clean,Girls,109,0.5824175824175825,0.48623853211009177,0.53,91
4,D30,clean,Men,3552,0.9240471620510008,0.9487612612612613,0.9362411446034171,3647
4,D30,clean,Unisex,353,0.6551724137931034,0.5382436260623229,0.5909797822706065,290
4,D30,clean,Women,2405,0.9231738035264484,0.9143451143451143,0.9187382494255275,2382
4,D30,gray,Boys,138,0.5902777777777778,0.6159420289855072,0.6028368794326241,144
4,D30,gray,Girls,109,0.6382978723404256,0.27522935779816515,0.38461538461538464,47
4,D30,gray,Men,3552,0.8844755970924195,0.9591779279279279,0.9203133441383036,3852
4,D30,gray,Unisex,353,0.6689895470383276,0.5439093484419264,0.6,287
4,D30,gray,Women,2405,0.9330938482263135,0.8640332640332641,0.8972366148531952,2227
4,D45,clean,Boys,138,0.6503496503496503,0.6739130434782609,0.6619217081850534,143
4,D45,clean,Girls,109,0.5894736842105263,0.5137614678899083,0.5490196078431373,95
4,D45,clean,Men,3552,0.9179655455291222,0.9451013513513513,0.9313358302122348,3657
4,D45,clean,Unisex,353,0.6428571428571429,0.5354107648725213,0.5842349304482226,294
